question,correct_answer,distractors,source_template
"Given that Fred Astaire is related to Funny Face, and Funny Face is related to Leonard Gershe, what is the final entity connected to Fred Astaire?",Leonard Gershe,"French, Intolerance: Love's Struggle Throughout the Ages, The Birth of a Nation",Relational Chain
Identify the release date of Pat O' Brien.,1899,"1924, 1900, 1898",Release Date
Who was in the cast of The Last Laugh?,Emilie Kurz,"Mack Swain, Harpo Marx, Max Ernst",Actor Question
Who directed the movie the Man Who Knew Too Much?,Alfred Hitchcock,"Carl Theodor Dreyer, Frank Lloyd, George Stevens",Director Question
Who starred in the Birth of a Nation?,Lillian Gish,"Merna Kennedy, Carl Miller, Boris Karloff",Actor Question
Identify the release date of George O' Brien.,1899,"1924, 1900, 1898",Release Date
Identify the release date of Humphrey Cobb.,1899,"1924, 1900, 1898",Release Date
Identify the director of Marnie.,Alfred Hitchcock,"Archie Mayo, Charles Chaplin, Jean Renoir",Director Question
Which actor appeared in F W Murnau's film The Last Laugh?,Maly Delschaft,"Bela Lugosi, Friedrich Feher, Groucho Marx",Director-Actor Chain
"Name an actor from Sunrise, a film by F W Murnau.",Margaret Livingston,"Groucho Marx, The Marx Brothers, Harpo Marx",Director-Actor Chain
"In the Phantom of the Opera directed by Lon Chaney, who was one of the main actors?",Norman Kerry,"Henry Bergman, Mildred Davis, Groucho Marx",Director-Actor Chain
"In the Cabinet of Dr Caligari directed by Robert Wiene, who was one of the main actors?",Conrad Veidt,"Henry Bergman, Edna Purviance, Charles Chaplin",Director-Actor Chain
Name an actor from intolerance Love's Struggle Throughout the Ages.,Mae Marsh,"Henry Bergman, Emil Jannings, F A Turner",Actor Question
Name an actor from City Lights.,Florence Lee,"The Marx Brothers, Mae Marsh, Janet Gaynor",Actor Question
What is the release year of Joseph Ruskin?,1924,"1899, 1925, 1923",Release Date
Which actor appeared in The Last Laugh?,Maly Delschaft,"Werner Krauss, Henry Bergman, David Manners",Actor Question
Which actor appeared in The Kid?,Edward Biby,"Virginia Cherrill, F A Turner, Nellie Bly Baker",Actor Question
"In Safety Last directed by Fred C Newmeyer, who was one of the main actors?",Bill Strother,"Bela Lugosi, Boris Karloff, Frida Richard",Director-Actor Chain
"Given that The Cabinet of Dr. Caligari is related to Robert Wiene, and Robert Wiene is related to The Cabinet of Dr. Caligari, what is the final entity connected to The Cabinet of Dr. Caligari?",The Cabinet of Dr. Caligari,"20th Century Fox, Stanley Donen, French",Relational Chain
Monkey Business was directed by whom?,Howard Hawks,"Carl Theodor Dreyer, Fritz Lang, F W Murnau",Director Question
What is the release year of Marlon Brando?,1924,"1899, 1925, 1923",Release Date
When was Sam Rolfe released?,1924,"1899, 1925, 1923",Release Date
What is the release year of Chief Dan George?,1899,"1924, 1900, 1898",Release Date
Identify the director of a Night at the Opera.,Sam Wood,"George Stevens, Charles Chaplin, Alfred Hitchcock",Director Question
When was Charles Aznavour released?,1924,"1899, 1925, 1923",Release Date
Name an actor from The General.,Glen Cavender,"Harry Myers, Al Ernest Garcia, Mary Philbin",Actor Question
Which actor appeared in Fred C Newmeyer's film Safety Last?,Mildred Davis,"Groucho Marx, Camilla Horn, Lillian Gish",Director-Actor Chain
Which actor appeared in City Lights?,Charles Chaplin,"Albert Austin, Mae Clarke, Emil Jannings",Actor Question
gone with the Wind was directed by whom?,Sam Wood,"George Stevens, Tod Browning, Howard Hawks",Director Question
What is the release year of Machiko Kyô?,1924,"1899, 1925, 1923",Release Date
"Through the connection Kay Thompson → Funny Face → ?, which final entity emerges?",Stanley Donen,"NOT RATED, English, Limelight",Relational Chain
Scarlet Street was directed by whom?,Fritz Lang,"Lewis Milestone, Charles Chaplin, Ernst Lubitsch",Director Question
What is the release year of Dorothy Yost?,1899,"1924, 1900, 1898",Release Date
Which director was responsible for Dracula?,Tod Browning,"Fritz Lang, Mark Sandrich, Richard Rosson",Director Question
In which year did C S Forester come out?,1899,"1924, 1900, 1898",Release Date
Who was in the cast of the Cabinet of Dr Caligari?,Lil Dagover,"Marlene Dietrich, Henry Bergman, Steve Murphy",Actor Question
Who was in the cast of Dracula?,David Manners,"Al Ernest Garcia, Groucho Marx, Henry Bergman",Actor Question
Name an actor from The Blue Angel.,Emil Jannings,"F A Turner, Malcolm Waite, Arnold Lucy",Actor Question
What is the release year of Dan Sturkie?,1924,"1899, 1925, 1923",Release Date
Which director was responsible for dr Jekyll and Mr Hyde?,Rouben Mamoulian,"Howard Hawks, Lon Chaney, Charles Chaplin",Director Question
Which actor appeared in Charles Chaplin's film City Lights?,Harry Myers,"Gustav Fröhlich, Maurice Schutz, The Marx Brothers",Director-Actor Chain
Identify the director of the Woman in the Window.,Fritz Lang,"Jean Renoir, Sam Wood, Howard Hawks",Director Question
When was Claude Sautet released?,1924,"1899, 1925, 1923",Release Date
The Mummy was directed by whom?,Karl Freund,"Carl Theodor Dreyer, Alfred Hitchcock, Michael Curtiz",Director Question
Who starred in The Blue Angel?,Marlene Dietrich,"Mae Clarke, Emil Jannings, David Manners",Actor Question
Who directed the movie Safety Last?,Sam Taylor,"Howard Hawks, Charles Chaplin, George Stevens",Director Question
Who was in the cast of the Thief of Bagdad?,Conrad Veidt,"Chico Marx, Marlene Dietrich, David Manners",Actor Question
"If The Birth of a Nation connects through D.W. Griffith, which entity is ultimately linked?",Intolerance: Love's Struggle Throughout the Ages,"Robert Flemyng, French, Leonard Gershe",Relational Chain
the Passion of Joan of Arc was directed by whom?,Carl Theodor Dreyer,"Ernst Lubitsch, Frank Capra",Director Question
"Given that Fred Astaire is related to The Towering Inferno, and The Towering Inferno is related to United States of America, what is the final entity connected to Fred Astaire?",United States of America,"P G, The Great Dictator",Relational Chain
Who was in the cast of the Cabinet of Dr Caligari?,Conrad Veidt,"Charles Chaplin, Henry B. Walthall, Rudolf Klein-Rogge",Actor Question
Who was in the cast of all Quiet on the Western Front?,John Wray,"Lew Ayres, Bela Lugosi, Ernest Torrence",Actor Question
When was William Absalom Drake released?,1899,"1924, 1900, 1898",Release Date
Who was in the cast of l' Age d' Or?,Caridad De Laberdesque,"Robert Harron, The Marx Brothers, Conrad Veidt",Actor Question
Identify the release date of Ron Moody.,1924,"1899, 1925, 1923",Release Date
Who starred in The Circus?,Tiny Sandford,"Werner Krauss, Lil Dagover, Robert Harron",Actor Question
Who starred in The Circus?,Henry Bergman,"Groucho Marx, Max Schreck, Gösta Ekman",Actor Question
"In The Blue Angel directed by Josef Von Sternberg, who was one of the main actors?",Kurt Gerron,"Boris Karloff, Lil Dagover, Tiny Sandford",Director-Actor Chain
Who directed the movie M?,Fritz Lang,"Alfred Hitchcock, Sam Wood, James Whale",Director Question
In which year did R S Allen come out?,1924,"1899, 1925, 1923",Release Date
Identify the director of The Lady Vanishes.,Alfred Hitchcock,"Luis Buñuel, Howard Hawks, Leo McCarey",Director Question
When was Massimo Franciosa released?,1924,"1899, 1925, 1923",Release Date
Name an actor from the Phantom of the Opera.,Mary Philbin,"David Manners, Chico Marx, Maurice Schutz",Actor Question
Who was in the cast of the Birth of a Nation?,Henry B Walthall,"Lil Dagover, Al Ernest Garcia, John Wray",Actor Question
Identify the director of Faust.,F W Murnau,"Alfred Hitchcock, Charles Chaplin, Howard Hawks",Director Question
Who directed the movie all Quiet on the Western Front?,Lewis Milestone,"Luis Buñuel, Archie Mayo, Fritz Lang",Director Question
Who directed the movie the Phantom of the Opera?,Rupert Julian,"Michael Curtiz, Tod Browning, Victor Heerman",Director Question
What is the release year of Sam Spewack?,1899,"1924, 1900, 1898",Release Date
Name an actor from Animal Crackers.,Harpo Marx,"Bela Lugosi, Henry Bergman, Lil Dagover",Actor Question
Who was in the cast of a Day at the Races?,Groucho Marx,"Gösta Ekman, John Wray, Chico Marx",Actor Question
"If Steve McQueen connects through The Towering Inferno, which entity is ultimately linked?",John Guillermin,"20th Century Fox, French, P G",Relational Chain
Which actor appeared in Edward Sedgwick's film the Phantom of the Opera?,Mary Philbin,"Lew Ayres, Glen Cavender, André Berley",Director-Actor Chain
Who was in the cast of Battleship Potemkin?,Vladimir Barskiy,"Werner Krauss, Steve Murphy, Emil Jannings",Actor Question
What is the release year of Matsutarô Kawaguchi?,1899,"1924, 1900, 1898",Release Date
Identify the release date of Charles Laughton.,1899,"1924, 1900, 1898",Release Date
"Through the connection Kay Thompson → Funny Face → ?, which final entity emerges?",Paramount Pictures,"P G, Leonard Gershe, The Birth of a Nation",Relational Chain
When was Jay C Flippen released?,1899,"1924, 1900, 1898",Release Date
"Name an actor from The Kid, a film by Charles Chaplin.",Carl Miller,"Charles Chaplin, Mae Marsh, Al Ernest Garcia",Director-Actor Chain
Who directed the movie Bringing Up Baby?,Howard Hawks,"Fritz Lang, Alfred Hitchcock",Director Question
What is the release year of Norman Alden?,1924,"1899, 1925, 1923",Release Date
"In the Birth of a Nation directed by D W Griffith, who was one of the main actors?",Henry B Walthall,"Bela Lugosi, Norman Kerry, Charles Chaplin",Director-Actor Chain
Which actor appeared in intolerance Love's Struggle Throughout the Ages?,Robert Harron,"Janet Gaynor, Buster Keaton, Bodil Rosing",Actor Question
Which actor appeared in Sunrise?,Margaret Livingston,"Rosa Valetti, Charles Chaplin, Max Ernst",Actor Question
Who directed the movie Top Hat?,Mark Sandrich,"Ernst Lubitsch, Frank Lloyd, Alfred Hitchcock",Director Question
Who was in the cast of Faust?,Camilla Horn,"Charles Chaplin, Bela Lugosi, Harpo Marx",Actor Question
Identify the director of Sergeant York.,Howard Hawks,"Archie Mayo, Alfred Hitchcock, Michael Curtiz",Director Question
Which director was responsible for the Ox Bow Incident?,William A Wellman,"Luis Buñuel, Jean Renoir, Carl Theodor Dreyer",Director Question
Psycho was directed by whom?,Alfred Hitchcock,"Frank Capra, Carl Theodor Dreyer, Michael Curtiz",Director Question
What is the release year of Louis Cha?,1924,"1899, 1925, 1923",Release Date
Which actor appeared in The Gold Rush?,Malcolm Waite,"Harpo Marx, Boris Karloff, Emilie Kurz",Actor Question
"In Metropolis directed by Fritz Lang, who was one of the main actors?",Alfred Abel,"Marlene Dietrich, Maurice Schutz, Bela Lugosi",Director-Actor Chain
"Through the connection Michel Auclair → Funny Face → ?, which final entity emerges?",Audrey Hepburn,"United States of America, The Night of the Hunter, P G",Relational Chain
When was Leslie Phillips released?,1924,"1899, 1925, 1923",Release Date
What is the release year of Vladlen Bakhnov?,1924,"1899, 1925, 1923",Release Date
Identify the release date of Nevil Shute.,1899,"1924, 1900, 1898",Release Date
Who was in the cast of Limelight?,Buster Keaton,"Marion Mack, Florence Lee, Mary Philbin",Actor Question
"Name an actor from Stage Fright, a film by Alfred Hitchcock.",Marlene Dietrich,"Gustav von Wangenheim, Maurice Schutz, Camilla Horn",Director-Actor Chain
Who starred in Nosferatu?,Gustav Von Wangenheim,"Harpo Marx, Max Ernst, Gösta Ekman",Actor Question
Which director was responsible for Nosferatu?,F W Murnau,"Mark Sandrich, Howard Hawks, Alfred Hitchcock",Director Question
Which actor appeared in Sunrise?,Bodil Rosing,"Chico Marx, Tom McGuire, Rudolf Klein-Rogge",Actor Question
Who starred in Duck Soup?,Chico Marx,"Glen Cavender, Alexander Granach, Groucho Marx",Actor Question
"If Intolerance: Love's Struggle Throughout the Ages connects through Mae Marsh, which entity is ultimately linked?",The Birth of a Nation,"United States of America, Stirling Silliphant",Relational Chain
Which director was responsible for Frankenstein?,James Whale,"Sam Wood, Lewis Milestone, Alfred Hitchcock",Director Question
"Given that Irwin Allen is related to The Towering Inferno, and The Towering Inferno is related to United States of America, what is the final entity connected to Irwin Allen?",United States of America,"Audrey Hepburn, Romance, 20th Century Fox",Relational Chain
Name an actor from Limelight.,Charles Chaplin,"Alexander Granach, Rosa Valetti, Beulah Bains",Actor Question
dial M for Murder was directed by whom?,Alfred Hitchcock,"Fritz Lang, Charles Chaplin, Dziga Vertov",Director Question
"Name an actor from The Last Laugh, a film by F W Murnau.",Emil Jannings,"Boris Karloff, Frank Aderias, Charles Chaplin",Director-Actor Chain
When was George Macready released?,1899,"1924, 1900, 1898",Release Date
Who starred in Steamboat Bill Jr?,Ernest Torrence,"Camilla Horn, Steve Murphy, Groucho Marx",Actor Question
When was Fred Astaire released?,1899,"1924, 1900, 1898",Release Date
"In The Kid directed by Charles Chaplin, who was one of the main actors?",Jackie Coogan,"Marlene Dietrich, Chico Marx, Jim Farley",Director-Actor Chain
In which year did Katy Jurado come out?,1924,"1899, 1925, 1923",Release Date
Who was in the cast of The General?,Buster Keaton,"Henry Bergman, Maly Delschaft, Merna Kennedy",Actor Question
Name an actor from a Night at the Opera.,Harpo Marx,"Henry B. Walthall, Janet Gaynor, Al Ernest Garcia",Actor Question
In which year did Tony Geiss come out?,1924,"1899, 1925, 1923",Release Date
"In the Phantom of the Opera directed by Edward Sedgwick, who was one of the main actors?",Arthur Edmund Carewe,"Charles Chaplin, George O'Brien, Chico Marx",Director-Actor Chain
In which year did Anne Vernon come out?,1924,"1899, 1925, 1923",Release Date
"In the Phantom of the Opera directed by Rupert Julian, who was one of the main actors?",Norman Kerry,"Rosa Valetti, Henry Bergman, Maly Delschaft",Director-Actor Chain
"Name an actor from Sherlock Jr, a film by Buster Keaton.",Kathryn Mc Guire,"Georgia Hale, Harold Lloyd, Boris Karloff",Director-Actor Chain
When was Vera Caspary released?,1899,"1924, 1900, 1898",Release Date
Which actor appeared in The Circus?,Merna Kennedy,"F A Turner, Malcolm Waite, Rudolf Klein-Rogge",Actor Question
Name an actor from Frankenstein.,Mae Clarke,"Rudolf Klein-Rogge, Groucho Marx, Charles Chaplin",Actor Question
Identify the director of Steamboat Bill Jr.,Buster Keaton,"Leo McCarey, Frank Capra, James Whale",Director Question
Who was in the cast of a Day at the Races?,Chico Marx,"Gustav von Wangenheim, Charles Chaplin, Vladimir Barskiy",Actor Question
Name an actor from the Passion of Joan of Arc.,André Berley,"Merna Kennedy, Harpo Marx, David Manners",Actor Question
Identify the release date of Marcel Achard.,1899,"1924, 1900, 1898",Release Date
Identify the director of it's a Wonderful Life.,Frank Capra,"W.S. Van Dyke, Ernst Lubitsch, Buster Keaton",Director Question
Identify the director of Yankee Doodle Dandy.,Michael Curtiz,"Alfred Hitchcock, Sam Wood",Director Question
"Given that Fred Astaire is related to Funny Face, and Funny Face is related to United States of America, what is the final entity connected to Fred Astaire?",United States of America,"Intolerance: Love's Struggle Throughout the Ages, 20th Century Fox, Leonard Gershe",Relational Chain
Which director was responsible for The Big Heat?,Fritz Lang,"Frank Lloyd, Merian C. Cooper, W.S. Van Dyke",Director Question
Which director was responsible for the Birth of a Nation?,D W Griffith,"W.S. Van Dyke, Ernest B. Schoedsack, Charles Chaplin",Director Question
Who starred in the Passion of Joan of Arc?,Eugene Silvain,"Virginia Cherrill, Henry Bergman, Gösta Ekman",Actor Question
Which director was responsible for Trouble In Paradise?,Ernst Lubitsch,"Alfred Hitchcock, Michael Curtiz, Buster Keaton",Director Question
What is the release year of Rian James?,1899,"1924, 1900, 1898",Release Date
Who directed the movie Animal Crackers?,Victor Heerman,"Frank Lloyd, Carl Theodor Dreyer, Alfred Hitchcock",Director Question
Which director was responsible for the Adventures of Robin Hood?,Michael Curtiz,"Alfred Hitchcock, Howard Hawks, Fred C. Newmeyer",Director Question
In which year did Charles Boyer come out?,1899,"1924, 1900, 1898",Release Date
What is the release year of Marcello Mastroianni?,1924,"1899, 1925, 1923",Release Date
"Through the connection Michel Auclair → Funny Face → ?, which final entity emerges?",Leonard Gershe,"Stanley Donen, Richard Martin Stern, English",Relational Chain
Which actor appeared in F W Murnau's film Faust?,Gösta Ekman,"Bela Lugosi, Harold Lloyd, Tom Murray",Director-Actor Chain
Identify the director of Metropolis.,Fritz Lang,"Frank Capra, Luis Buñuel, Alfred Hitchcock",Director Question
In which year did Eddie Smith come out?,1924,"1899, 1925, 1923",Release Date
Which actor appeared in The Mummy?,David Manners,"Mary Philbin, Emilie Kurz, Groucho Marx",Actor Question
"Name an actor from the Cabinet of Dr Caligari, a film by Robert Wiene.",Lil Dagover,"Conrad Veidt, George Davis, Henry B. Walthall",Director-Actor Chain
Who was in the cast of the Phantom of the Opera?,Arthur Edmund Carewe,"Maurice Schutz, Chico Marx, Buster Keaton",Actor Question
"Name an actor from l' Age d' Or, a film by Luis Buñuel.",Caridad De Laberdesque,"Harpo Marx, Caridad de Laberdesque, Charles Chaplin",Director-Actor Chain
"Name an actor from the Phantom of the Opera, a film by Edward Sedgwick.",Norman Kerry,"Florence Lee, Edna Purviance, Tom Murray",Director-Actor Chain
"Name an actor from Modern Times, a film by Charles Chaplin.",Al Ernest Garcia,"Charles Chaplin, Grigoriy Aleksandrov, Lew Ayres",Director-Actor Chain
In which year did Robert Bolt come out?,1924,"1899, 1925, 1923",Release Date
Identify the director of Giant.,George Stevens,"Merian C. Cooper, Archie Mayo, Carl Theodor Dreyer",Director Question
Identify the director of Captain Blood.,Michael Curtiz,"Charles Chaplin, Fritz Lang, Alfred Hitchcock",Director Question
Who starred in Metropolis?,Rudolf Klein Rogge,"Groucho Marx, David Manners, Charles Chaplin",Actor Question
Name an actor from The Kid.,Edna Purviance,"Henry Bergman, Aleksandr Antonov, The Marx Brothers",Actor Question
Which actor appeared in Charles Chaplin's film The Gold Rush?,Malcolm Waite,"Frank Aderias, Groucho Marx, Tiny Sandford",Director-Actor Chain
Who was in the cast of The Kid?,Jackie Coogan,"Ernest Torrence, Harpo Marx, Glen Cavender",Actor Question
Name an actor from The Gold Rush.,Charles Chaplin,"Jim Farley, Maly Delschaft, Chico Marx",Actor Question
Which director was responsible for The General?,Clyde Bruckman,"Michael Curtiz, Victor Heerman, George Stevens",Director Question
Who directed the movie Mildred Pierce?,Michael Curtiz,"Charles Chaplin, Clyde Bruckman, Charles Reisner",Director Question
When was Roberts Blossom released?,1924,"1899, 1925, 1923",Release Date
Identify the release date of Richard Hooker.,1924,"1899, 1925, 1923",Release Date
"Given that Leonard Gershe is related to Funny Face, and Funny Face is related to English, what is the final entity connected to Leonard Gershe?",English,"Michel Auclair, Leonard Gershe, Kay Thompson",Relational Chain
"In Nosferatu directed by F W Murnau, who was one of the main actors?",Max Schreck,"Mae Clarke, Kurt Gerron, Marlene Dietrich",Director-Actor Chain
Who was in the cast of The Last Laugh?,Emil Jannings,"Charles Chaplin, Lew Ayres, Werner Krauss",Actor Question
Identify the release date of John Gay.,1924,"1899, 1925, 1923",Release Date
Name an actor from Safety Last.,Mildred Davis,"Bela Lugosi, Arnold Lucy, Janet Gaynor",Actor Question
What is the release year of Sylvia Miles?,1924,"1899, 1925, 1923",Release Date
"In the Phantom of the Opera directed by Ernst Laemmle, who was one of the main actors?",Norman Kerry,"Beulah Bains, Boris Karloff, Max Ernst",Director-Actor Chain
When was W R Burnett released?,1899,"1924, 1900, 1898",Release Date
"Name an actor from Vampyr, a film by Carl Theodor Dreyer.",Maurice Schutz,"Max Hiller, Marlene Dietrich, Noah Young",Director-Actor Chain
Which actor appeared in The Blue Angel?,Rosa Valetti,"Buster Keaton, Charles Chaplin",Actor Question
Which actor appeared in The General?,Marion Mack,"Ernest Torrence, Harry Myers, Norman Kerry",Actor Question
Name an actor from Bride Of Frankenstein.,Colin Clive,"Maurice Schutz, Gustav von Wangenheim, Groucho Marx",Actor Question
Who directed the movie Saboteur?,Alfred Hitchcock,"Luis Buñuel, Sam Taylor, Howard Hawks",Director Question
the Phantom of the Opera was directed by whom?,Lon Chaney,"Ernst Lubitsch, Fritz Lang, Charles Reisner",Director Question
"In The Kid directed by Charles Chaplin, who was one of the main actors?",F Blinn,"Henry Bergman, Marlene Dietrich, Charles Chaplin",Director-Actor Chain
Name an actor from Faust.,Emil Jannings,"Harpo Marx, Al Ernest Garcia, Charles Chaplin",Actor Question
Which director was responsible for you Can't Take It with You?,Frank Capra,"Sam Wood, W.S. Van Dyke, Jean Vigo",Director Question
"In Frankenstein directed by James Whale, who was one of the main actors?",Boris Karloff,"Janet Gaynor, Kathryn McGuire, Buster Keaton",Director-Actor Chain
"Through the connection Robert Flemyng → Funny Face → ?, which final entity emerges?",United States of America,"Limelight, Stanley Donen, John Guillermin",Relational Chain
Who starred in The Kid?,Carl Miller,"Mae Marsh, Boris Karloff, Friedrich Feher",Actor Question
Who directed the movie Limelight?,Charles Chaplin,"Buster Keaton, Fritz Lang, Alfred Hitchcock",Director Question
Identify the director of Rear Window.,Alfred Hitchcock,"George Stevens, Sam Wood, Sam Taylor",Director Question
When was Byron Haskin released?,1899,"1924, 1900, 1898",Release Date
"In The Gold Rush directed by Charles Chaplin, who was one of the main actors?",Tom Murray,"Kathryn McGuire, Marlene Dietrich, Chico Marx",Director-Actor Chain
Identify the director of the Rules of the Game.,Jean Renoir,"Frank Capra, Howard Hawks, Sam Wood",Director Question
